region,gas,units,year,data_val
Otago,Carbon dioxide equivalents,Kilotonnes,2018,50.11
Otago,Carbon dioxide equivalents,Kilotonnes,2019,55.19
Southland,Carbon dioxide equivalents,Kilotonnes,2007,42.31
Southland,Carbon dioxide equivalents,Kilotonnes,2008,48.57
Southland,Carbon dioxide equivalents,Kilotonnes,2009,52.24
Southland,Carbon dioxide equivalents,Kilotonnes,2010,69.9
Southland,Carbon dioxide equivalents,Kilotonnes,2011,62.01
Southland,Carbon dioxide equivalents,Kilotonnes,2012,53.06
Southland,Carbon dioxide equivalents,Kilotonnes,2013,57.96
Southland,Carbon dioxide equivalents,Kilotonnes,2014,56.23
Southland,Carbon dioxide equivalents,Kilotonnes,2015,57.26
Southland,Carbon dioxide equivalents,Kilotonnes,2016,58.56
Southland,Carbon dioxide equivalents,Kilotonnes,2017,57.79
Southland,Carbon dioxide equivalents,Kilotonnes,2018,66.92
Southland,Carbon dioxide equivalents,Kilotonnes,2019,59.9
Taranaki,Carbon dioxide equivalents,Kilotonnes,2007,18.94
Taranaki,Carbon dioxide equivalents,Kilotonnes,2008,13.74
Taranaki,Carbon dioxide equivalents,Kilotonnes,2009,12.18
Taranaki,Carbon dioxide equivalents,Kilotonnes,2010,11.87
Taranaki,Carbon dioxide equivalents,Kilotonnes,2011,22.77
Taranaki,Carbon dioxide equivalents,Kilotonnes,2012,12
Taranaki,Carbon dioxide equivalents,Kilotonnes,2013,16.46
Taranaki,Carbon dioxide equivalents,Kilotonnes,2014,19.33
Taranaki,Carbon dioxide equivalents,Kilotonnes,2015,16.16
Taranaki,Carbon dioxide equivalents,Kilotonnes,2016,16.74
Taranaki,Carbon dioxide equivalents,Kilotonnes,2017,18.59
Taranaki,Carbon dioxide equivalents,Kilotonnes,2018,24.15
Taranaki,Carbon dioxide equivalents,Kilotonnes,2019,24.28
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2007,131.84
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2008,119.25
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2009,116.23
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2010,97.94
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2011,108.75
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2012,140.56
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2013,147.4
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2014,148.54
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2015,119.02
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2016,103.18
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2017,78.21
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2018,91.24
Tasman/Nelson,Carbon dioxide equivalents,Kilotonnes,2019,95.92
Waikato,Carbon dioxide equivalents,Kilotonnes,2007,122.82
Waikato,Carbon dioxide equivalents,Kilotonnes,2008,125.7
Waikato,Carbon dioxide equivalents,Kilotonnes,2009,107.88
Waikato,Carbon dioxide equivalents,Kilotonnes,2010,114.29
Waikato,Carbon dioxide equivalents,Kilotonnes,2011,124.63
Waikato,Carbon dioxide equivalents,Kilotonnes,2012,125.13
Waikato,Carbon dioxide equivalents,Kilotonnes,2013,172.66
Waikato,Carbon dioxide equivalents,Kilotonnes,2014,161.19
Waikato,Carbon dioxide equivalents,Kilotonnes,2015,137.9
Waikato,Carbon dioxide equivalents,Kilotonnes,2016,130.56
Waikato,Carbon dioxide equivalents,Kilotonnes,2017,155.31
Waikato,Carbon dioxide equivalents,Kilotonnes,2018,139.66
Waikato,Carbon dioxide equivalents,Kilotonnes,2019,156.77
